
		>>BUBBLE SORT<<
Vetor_2[77]: 25273
Vetor_2[78]: 21468
Vetor_2[79]: 12201
Vetor_2[80]: 14227
Vetor_2[81]: 4887
Vetor_2[82]: 5943
Vetor_2[83]: 13699
Vetor_2[84]: 20105
Vetor_2[85]: 3046
Vetor_2[86]: 19956
Vetor_2[87]: 7944
Vetor_2[88]: 5376
Vetor_2[89]: 10927
Vetor_2[90]: 10573
Vetor_2[91]: 15137
Vetor_2[92]: 13963
Vetor_2[93]: 25547
Vetor_2[94]: 9991
Vetor_2[95]: 16395
Vetor_2[96]: 16836
Vetor_2[97]: 14198
Vetor_2[98]: 572
Vetor_2[99]: 2312

		>>Vetor_2 - ORDENADO<<

Vetor_2[0]: 921
Vetor_2[1]: 29294
Vetor_2[2]: 18927
Vetor_2[3]: 23066
Vetor_2[4]: 7555
Vetor_2[5]: 4031
Vetor_2[6]: 31510
Vetor_2[7]: 19616
Vetor_2[8]: 20546
Vetor_2[9]: 972
Vetor_2[10]: 30797
Vetor_2[11]: 19994
Vetor_2[12]: 20663
Vetor_2[13]: 8963
Vetor_2[14]: 11042
Vetor_2[15]: 11630
Vetor_2[16]: 20350
Vetor_2[17]: 17314
Vetor_2[18]: 6311
Vetor_2[19]: 1018
Vetor_2[20]: 18127
Vetor_2[21]: 25618
Vetor_2[22]: 15986
Vetor_2[23]: 11910
Vetor_2[24]: 24482
Vetor_2[25]: 2935
Vetor_2[26]: 16616
Vetor_2[27]: 21110
Vetor_2[28]: 12823
Vetor_2[29]: 6277
Vetor_2[30]: 20156
Vetor_2[31]: 17220
Vetor_2[32]: 25876
Vetor_2[33]: 29333
Vetor_2[34]: 23986
Vetor_2[35]: 23598
Vetor_2[36]: 28976
Vetor_2[37]: 20728
Vetor_2[38]: 9385
Vetor_2[39]: 8748
Vetor_2[40]: 2768
Vetor_2[41]: 3211
Vetor_2[42]: 30424
Vetor_2[43]: 16933
Vetor_2[44]: 30607
Vetor_2[45]: 12171
Vetor_2[46]: 25688
Vetor_2[47]: 16226
Vetor_2[48]: 21220
Vetor_2[49]: 14251
Vetor_2[50]: 17378
Vetor_2[51]: 26179
Vetor_2[52]: 1535
Vetor_2[53]: 15972
Vetor_2[54]: 2523
Vetor_2[55]: 22321
Vetor_2[56]: 30451
Vetor_2[57]: 31629
Vetor_2[58]: 4237
Vetor_2[59]: 15827
Vetor_2[60]: 13082
Vetor_2[61]: 22059
Vetor_2[62]: 13752
Vetor_2[63]: 2181
Vetor_2[64]: 6325
Vetor_2[65]: 30602
Vetor_2[66]: 29001
Vetor_2[67]: 13318
Vetor_2[68]: 17364
Vetor_2[69]: 5261
Vetor_2[70]: 18793
Vetor_2[71]: 32624
Vetor_2[72]: 17014
Vetor_2[73]: 24898
Vetor_2[74]: 18361
Vetor_2[75]: 7278
Vetor_2[76]: 21488
Vetor_2[77]: 25273
Vetor_2[78]: 21468
Vetor_2[79]: 12201
Vetor_2[80]: 14227
Vetor_2[81]: 4887
Vetor_2[82]: 5943
Vetor_2[83]: 13699
Vetor_2[84]: 20105
Vetor_2[85]: 3046
Vetor_2[86]: 19956
Vetor_2[87]: 7944
Vetor_2[88]: 5376
Vetor_2[89]: 10927
Vetor_2[90]: 10573
Vetor_2[91]: 15137
Vetor_2[92]: 13963
Vetor_2[93]: 25547
Vetor_2[94]: 9991
Vetor_2[95]: 16395
Vetor_2[96]: 16836
Vetor_2[97]: 14198
Vetor_2[98]: 572
Vetor_2[99]: 2312

		>>Vetor_3 - ALEATORIO<<

Vetor_3[0]: 10325
Vetor_3[1]: 11572
Vetor_3[2]: 17077
Vetor_3[3]: 2187
Vetor_3[4]: 3052
Vetor_3[5]: 2892
Vetor_3[6]: 6162
Vetor_3[7]: 6845
Vetor_3[8]: 31416
Vetor_3[9]: 14850
Vetor_3[10]: 22754
Vetor_3[11]: 14011
Vetor_3[12]: 15280
Vetor_3[13]: 10115
Vetor_3[14]: 12647
Vetor_3[15]: 13138
Vetor_3[16]: 30657
Vetor_3[17]: 4373
Vetor_3[18]: 421
Vetor_3[19]: 26881
Vetor_3[20]: 31671
Vetor_3[21]: 19810
Vetor_3[22]: 20072
Vetor_3[23]: 28405
Vetor_3[24]: 20833
Vetor_3[25]: 4371
Vetor_3[26]: 17288
Vetor_3[27]: 9272
Vetor_3[28]: 29680
Vetor_3[29]: 24993
Vetor_3[30]: 11116
Vetor_3[31]: 22821
Vetor_3[32]: 9121
Vetor_3[33]: 10856
Vetor_3[34]: 32717
Vetor_3[35]: 11551
Vetor_3[36]: 7324
Vetor_3[37]: 10238
Vetor_3[38]: 30652
Vetor_3[39]: 29826
Vetor_3[40]: 13595
Vetor_3[41]: 7618
Vetor_3[42]: 14055
Vetor_3[43]: 15066
Vetor_3[44]: 9934
Vetor_3[45]: 2488
Vetor_3[46]: 536
Vetor_3[47]: 13651
Vetor_3[48]: 1919
Vetor_3[49]: 19092
Vetor_3[50]: 7422
Vetor_3[51]: 14705
Vetor_3[52]: 13554
Vetor_3[53]: 27668
Vetor_3[54]: 13616
Vetor_3[55]: 3073
Vetor_3[56]: 14351
Vetor_3[57]: 3475
Vetor_3[58]: 32367
Vetor_3[59]: 7248
Vetor_3[60]: 25410
Vetor_3[61]: 5852
Vetor_3[62]: 25643
Vetor_3[63]: 32666
Vetor_3[64]: 12323
Vetor_3[65]: 12092
Vetor_3[66]: 29769
Vetor_3[67]: 16581
Vetor_3[68]: 8274
Vetor_3[69]: 10971
Vetor_3[70]: 26404
Vetor_3[71]: 22607
Vetor_3[72]: 9637
Vetor_3[73]: 25163
Vetor_3[74]: 26834
Vetor_3[75]: 24710
Vetor_3[76]: 21894
Vetor_3[77]: 10338
Vetor_3[78]: 1960
Vetor_3[79]: 23031
Vetor_3[80]: 27542
Vetor_3[81]: 21061
Vetor_3[82]: 27648
Vetor_3[83]: 5160
Vetor_3[84]: 24471
Vetor_3[85]: 1478
Vetor_3[86]: 15673
Vetor_3[87]: 3722
Vetor_3[88]: 4744
Vetor_3[89]: 16880
Vetor_3[90]: 22528
Vetor_3[91]: 26025
Vetor_3[92]: 22289
Vetor_3[93]: 21983
Vetor_3[94]: 14798
Vetor_3[95]: 8358
Vetor_3[96]: 22818
Vetor_3[97]: 14806
Vetor_3[98]: 17842
Vetor_3[99]: 29415

		>>Vetor_3 - ORDENADO<<

Vetor_3[0]: 10325
Vetor_3[1]: 11572
Vetor_3[2]: 17077
Vetor_3[3]: 2187
Vetor_3[4]: 3052
Vetor_3[5]: 2892
Vetor_3[6]: 6162
Vetor_3[7]: 6845
Vetor_3[8]: 31416
Vetor_3[9]: 14850
Vetor_3[10]: 22754
Vetor_3[11]: 14011
Vetor_3[12]: 15280
Vetor_3[13]: 10115
Vetor_3[14]: 12647
Vetor_3[15]: 13138
Vetor_3[16]: 30657
Vetor_3[17]: 4373
Vetor_3[18]: 421
Vetor_3[19]: 26881
Vetor_3[20]: 31671
Vetor_3[21]: 19810
Vetor_3[22]: 20072
Vetor_3[23]: 28405
Vetor_3[24]: 20833
Vetor_3[25]: 4371
Vetor_3[26]: 17288
Vetor_3[27]: 9272
Vetor_3[28]: 29680
Vetor_3[29]: 24993
Vetor_3[30]: 11116
Vetor_3[31]: 22821
Vetor_3[32]: 9121
Vetor_3[33]: 10856
Vetor_3[34]: 32717
Vetor_3[35]: 11551
Vetor_3[36]: 7324
Vetor_3[37]: 10238
Vetor_3[38]: 30652
Vetor_3[39]: 29826
Vetor_3[40]: 13595
Vetor_3[41]: 7618
Vetor_3[42]: 14055
Vetor_3[43]: 15066
Vetor_3[44]: 9934
Vetor_3[45]: 2488
Vetor_3[46]: 536
Vetor_3[47]: 13651
Vetor_3[48]: 1919
Vetor_3[49]: 19092
Vetor_3[50]: 7422
Vetor_3[51]: 14705
Vetor_3[52]: 13554
Vetor_3[53]: 27668
Vetor_3[54]: 13616
Vetor_3[55]: 3073
Vetor_3[56]: 14351
Vetor_3[57]: 3475
Vetor_3[58]: 32367
Vetor_3[59]: 7248
Vetor_3[60]: 25410
Vetor_3[61]: 5852
Vetor_3[62]: 25643
Vetor_3[63]: 32666
Vetor_3[64]: 12323
Vetor_3[65]: 12092
Vetor_3[66]: 29769
Vetor_3[67]: 16581
Vetor_3[68]: 8274
Vetor_3[69]: 10971
Vetor_3[70]: 26404
Vetor_3[71]: 22607
Vetor_3[72]: 9637
Vetor_3[73]: 25163
Vetor_3[74]: 26834
Vetor_3[75]: 24710
Vetor_3[76]: 21894
Vetor_3[77]: 10338
Vetor_3[78]: 1960
Vetor_3[79]: 23031
Vetor_3[80]: 27542
Vetor_3[81]: 21061
Vetor_3[82]: 27648
Vetor_3[83]: 5160
Vetor_3[84]: 24471
Vetor_3[85]: 1478
Vetor_3[86]: 15673
Vetor_3[87]: 3722
Vetor_3[88]: 4744
Vetor_3[89]: 16880
Vetor_3[90]: 22528
Vetor_3[91]: 26025
Vetor_3[92]: 22289
Vetor_3[93]: 21983
Vetor_3[94]: 14798
Vetor_3[95]: 8358
Vetor_3[96]: 22818
Vetor_3[97]: 14806
Vetor_3[98]: 17842
Vetor_3[99]: 29415

		>>Vetor_4 - ALEATORIO<<

Vetor_4[0]: 10892
Vetor_4[1]: 19591
Vetor_4[2]: 5839
Vetor_4[3]: 2557
Vetor_4[4]: 21076
Vetor_4[5]: 3036
Vetor_4[6]: 32519
Vetor_4[7]: 32750
Vetor_4[8]: 242
Vetor_4[9]: 31213
Vetor_4[10]: 17749
Vetor_4[11]: 197
Vetor_4[12]: 29551
Vetor_4[13]: 29358
Vetor_4[14]: 23725
Vetor_4[15]: 24369
Vetor_4[16]: 28430
Vetor_4[17]: 11877
Vetor_4[18]: 17416
Vetor_4[19]: 26328
Vetor_4[20]: 30511
Vetor_4[21]: 12292
Vetor_4[22]: 2919
Vetor_4[23]: 23881
Vetor_4[24]: 6771
Vetor_4[25]: 28086
Vetor_4[26]: 10773
Vetor_4[27]: 3889
Vetor_4[28]: 6945
Vetor_4[29]: 26552
Vetor_4[30]: 2605
Vetor_4[31]: 15825
Vetor_4[32]: 30409
Vetor_4[33]: 8554
Vetor_4[34]: 27997
Vetor_4[35]: 175
Vetor_4[36]: 4391
Vetor_4[37]: 12454
Vetor_4[38]: 3817
Vetor_4[39]: 28556
Vetor_4[40]: 1609
Vetor_4[41]: 22352
Vetor_4[42]: 9971
Vetor_4[43]: 10391
Vetor_4[44]: 26612
Vetor_4[45]: 23342
Vetor_4[46]: 13049
Vetor_4[47]: 1760
Vetor_4[48]: 27205
Vetor_4[49]: 4090
Vetor_4[50]: 10143
Vetor_4[51]: 7439
Vetor_4[52]: 17300
Vetor_4[53]: 18358
Vetor_4[54]: 28591
Vetor_4[55]: 18518
Vetor_4[56]: 17309
Vetor_4[57]: 7488
Vetor_4[58]: 23646
Vetor_4[59]: 28580
Vetor_4[60]: 26082
Vetor_4[61]: 19750
Vetor_4[62]: 27345
Vetor_4[63]: 17180
Vetor_4[64]: 25419
Vetor_4[65]: 4283
Vetor_4[66]: 735
Vetor_4[67]: 4037
Vetor_4[68]: 1808
Vetor_4[69]: 12139
Vetor_4[70]: 4889
Vetor_4[71]: 31619
Vetor_4[72]: 19160
Vetor_4[73]: 14923
Vetor_4[74]: 11783
Vetor_4[75]: 15686
Vetor_4[76]: 32291
Vetor_4[77]: 9716
Vetor_4[78]: 3253
Vetor_4[79]: 9601
Vetor_4[80]: 31973
Vetor_4[81]: 13970
Vetor_4[82]: 6766
Vetor_4[83]: 2782
Vetor_4[84]: 14707
Vetor_4[85]: 29240
Vetor_4[86]: 28104
Vetor_4[87]: 28464
Vetor_4[88]: 7587
Vetor_4[89]: 3447
Vetor_4[90]: 21217
Vetor_4[91]: 28840
Vetor_4[92]: 1839
Vetor_4[93]: 1582
Vetor_4[94]: 19175
Vetor_4[95]: 23373
Vetor_4[96]: 25435
Vetor_4[97]: 24739
Vetor_4[98]: 9438
Vetor_4[99]: 28326

		>>Vetor_4 - ORDENADO<<

Vetor_4[0]: 10892
Vetor_4[1]: 19591
Vetor_4[2]: 5839
Vetor_4[3]: 2557
Vetor_4[4]: 21076
Vetor_4[5]: 3036
Vetor_4[6]: 32519
Vetor_4[7]: 32750
Vetor_4[8]: 242
Vetor_4[9]: 31213
Vetor_4[10]: 17749
Vetor_4[11]: 197
Vetor_4[12]: 29551
Vetor_4[13]: 29358
Vetor_4[14]: 23725
Vetor_4[15]: 24369
Vetor_4[16]: 28430
Vetor_4[17]: 11877
Vetor_4[18]: 17416
Vetor_4[19]: 26328
Vetor_4[20]: 30511
Vetor_4[21]: 12292
Vetor_4[22]: 2919
Vetor_4[23]: 23881
Vetor_4[24]: 6771
Vetor_4[25]: 28086
Vetor_4[26]: 10773
Vetor_4[27]: 3889
Vetor_4[28]: 6945
Vetor_4[29]: 26552
Vetor_4[30]: 2605
Vetor_4[31]: 15825
Vetor_4[32]: 30409
Vetor_4[33]: 8554
Vetor_4[34]: 27997
Vetor_4[35]: 175
Vetor_4[36]: 4391
Vetor_4[37]: 12454
Vetor_4[38]: 3817
Vetor_4[39]: 28556
Vetor_4[40]: 1609
Vetor_4[41]: 22352
Vetor_4[42]: 9971
Vetor_4[43]: 10391
Vetor_4[44]: 26612
Vetor_4[45]: 23342
Vetor_4[46]: 13049
Vetor_4[47]: 1760
Vetor_4[48]: 27205
Vetor_4[49]: 4090
Vetor_4[50]: 10143
Vetor_4[51]: 7439
Vetor_4[52]: 17300
Vetor_4[53]: 18358
Vetor_4[54]: 28591
Vetor_4[55]: 18518
Vetor_4[56]: 17309
Vetor_4[57]: 7488
Vetor_4[58]: 23646
Vetor_4[59]: 28580
Vetor_4[60]: 26082
Vetor_4[61]: 19750
Vetor_4[62]: 27345
Vetor_4[63]: 17180
Vetor_4[64]: 25419
Vetor_4[65]: 4283
Vetor_4[66]: 735
Vetor_4[67]: 4037
Vetor_4[68]: 1808
Vetor_4[69]: 12139
Vetor_4[70]: 4889
Vetor_4[71]: 31619
Vetor_4[72]: 19160
Vetor_4[73]: 14923
Vetor_4[74]: 11783
Vetor_4[75]: 15686
Vetor_4[76]: 32291
Vetor_4[77]: 9716
Vetor_4[78]: 3253
Vetor_4[79]: 9601
Vetor_4[80]: 31973
Vetor_4[81]: 13970
Vetor_4[82]: 6766
Vetor_4[83]: 2782
Vetor_4[84]: 14707
Vetor_4[85]: 29240
Vetor_4[86]: 28104
Vetor_4[87]: 28464
Vetor_4[88]: 7587
Vetor_4[89]: 3447
Vetor_4[90]: 21217
Vetor_4[91]: 28840
Vetor_4[92]: 1839
Vetor_4[93]: 1582
Vetor_4[94]: 19175
Vetor_4[95]: 23373
Vetor_4[96]: 25435
Vetor_4[97]: 24739
Vetor_4[98]: 9438
Vetor_4[99]: 28326

		>>Vetor_5 - ALEATORIO<<

Vetor_5[0]: 31359
Vetor_5[1]: 32681
Vetor_5[2]: 14463
Vetor_5[3]: 1966
Vetor_5[4]: 29948
Vetor_5[5]: 1198
Vetor_5[6]: 22070
Vetor_5[7]: 2419
Vetor_5[8]: 15151
Vetor_5[9]: 15055
Vetor_5[10]: 22500
Vetor_5[11]: 23927
Vetor_5[12]: 25654
Vetor_5[13]: 16322
Vetor_5[14]: 31539
Vetor_5[15]: 17998
Vetor_5[16]: 30119
Vetor_5[17]: 23252
Vetor_5[18]: 8721
Vetor_5[19]: 14015
Vetor_5[20]: 3446
Vetor_5[21]: 3896
Vetor_5[22]: 27568
Vetor_5[23]: 5824
Vetor_5[24]: 25369
Vetor_5[25]: 10399
Vetor_5[26]: 24272
Vetor_5[27]: 21667
Vetor_5[28]: 25577
Vetor_5[29]: 30217
Vetor_5[30]: 2368
Vetor_5[31]: 5770
Vetor_5[32]: 28364
Vetor_5[33]: 9946
Vetor_5[34]: 14498
Vetor_5[35]: 8224
Vetor_5[36]: 29457
Vetor_5[37]: 32304
Vetor_5[38]: 12400
Vetor_5[39]: 16523
Vetor_5[40]: 30363
Vetor_5[41]: 20596
Vetor_5[42]: 316
Vetor_5[43]: 23708
Vetor_5[44]: 18242
Vetor_5[45]: 32559
Vetor_5[46]: 25916
Vetor_5[47]: 26953
Vetor_5[48]: 23414
Vetor_5[49]: 26399
Vetor_5[50]: 17925
Vetor_5[51]: 27230
Vetor_5[52]: 9765
Vetor_5[53]: 29835
Vetor_5[54]: 20375
Vetor_5[55]: 18799
Vetor_5[56]: 25055
Vetor_5[57]: 20947
Vetor_5[58]: 13466
Vetor_5[59]: 6417
Vetor_5[60]: 5945
Vetor_5[61]: 25675
Vetor_5[62]: 2023
Vetor_5[63]: 6218
Vetor_5[64]: 25199
Vetor_5[65]: 2889
Vetor_5[66]: 20298
Vetor_5[67]: 2629
Vetor_5[68]: 15437
Vetor_5[69]: 21885
Vetor_5[70]: 13190
Vetor_5[71]: 13898
Vetor_5[72]: 19023
Vetor_5[73]: 8321
Vetor_5[74]: 29082
Vetor_5[75]: 9198
Vetor_5[76]: 31239
Vetor_5[77]: 22193
Vetor_5[78]: 28995
Vetor_5[79]: 26503
Vetor_5[80]: 27583
Vetor_5[81]: 16189
Vetor_5[82]: 9410
Vetor_5[83]: 4835
Vetor_5[84]: 28768
Vetor_5[85]: 5245
Vetor_5[86]: 5599
Vetor_5[87]: 7738
Vetor_5[88]: 7826
Vetor_5[89]: 21636
Vetor_5[90]: 17454
Vetor_5[91]: 23904
Vetor_5[92]: 17189
Vetor_5[93]: 32759
Vetor_5[94]: 14481
Vetor_5[95]: 21823
Vetor_5[96]: 12464
Vetor_5[97]: 15136
Vetor_5[98]: 29182
Vetor_5[99]: 1413

		>>Vetor_5 - ORDENADO<<

Vetor_5[0]: 31359
Vetor_5[1]: 32681
Vetor_5[2]: 14463
Vetor_5[3]: 1966
Vetor_5[4]: 29948
Vetor_5[5]: 1198
Vetor_5[6]: 22070
Vetor_5[7]: 2419
Vetor_5[8]: 15151
Vetor_5[9]: 15055
Vetor_5[10]: 22500
Vetor_5[11]: 23927
Vetor_5[12]: 25654
Vetor_5[13]: 16322
Vetor_5[14]: 31539
Vetor_5[15]: 17998
Vetor_5[16]: 30119
Vetor_5[17]: 23252
Vetor_5[18]: 8721
Vetor_5[19]: 14015
Vetor_5[20]: 3446
Vetor_5[21]: 3896
Vetor_5[22]: 27568
Vetor_5[23]: 5824
Vetor_5[24]: 25369
Vetor_5[25]: 10399
Vetor_5[26]: 24272
Vetor_5[27]: 21667
Vetor_5[28]: 25577
Vetor_5[29]: 30217
Vetor_5[30]: 2368
Vetor_5[31]: 5770
Vetor_5[32]: 28364
Vetor_5[33]: 9946
Vetor_5[34]: 14498
Vetor_5[35]: 8224
Vetor_5[36]: 29457
Vetor_5[37]: 32304
Vetor_5[38]: 12400
Vetor_5[39]: 16523
Vetor_5[40]: 30363
Vetor_5[41]: 20596
Vetor_5[42]: 316
Vetor_5[43]: 23708
Vetor_5[44]: 18242
Vetor_5[45]: 32559
Vetor_5[46]: 25916
Vetor_5[47]: 26953
Vetor_5[48]: 23414
Vetor_5[49]: 26399
Vetor_5[50]: 17925
Vetor_5[51]: 27230
Vetor_5[52]: 9765
Vetor_5[53]: 29835
Vetor_5[54]: 20375
Vetor_5[55]: 18799
Vetor_5[56]: 25055
Vetor_5[57]: 20947
Vetor_5[58]: 13466
Vetor_5[59]: 6417
Vetor_5[60]: 5945
Vetor_5[61]: 25675
Vetor_5[62]: 2023
Vetor_5[63]: 6218
Vetor_5[64]: 25199
Vetor_5[65]: 2889
Vetor_5[66]: 20298
Vetor_5[67]: 2629
Vetor_5[68]: 15437
Vetor_5[69]: 21885
Vetor_5[70]: 13190
Vetor_5[71]: 13898
Vetor_5[72]: 19023
Vetor_5[73]: 8321
Vetor_5[74]: 29082
Vetor_5[75]: 9198
Vetor_5[76]: 31239
Vetor_5[77]: 22193
Vetor_5[78]: 28995
Vetor_5[79]: 26503
Vetor_5[80]: 27583
Vetor_5[81]: 16189
Vetor_5[82]: 9410
